StartTime	EndTime	Value
0	3640	extreme closeup
3640	6440	medium long shot
6440	12360	closeup,[TO],medium closeup
12360	16521	shoulder closeup
16521	19240	closeup
19240	20560	medium shot
20560	21920	shoulder closeup
21920	22960	medium shot
22960	24080	medium shot
24080	24749	medium shot
24749	25960	medium closeup
25960	26800	shoulder closeup
26800	27560	medium shot
27560	28760	medium closeup
28760	30320	shoulder closeup
30320	33680	shoulder closeup
33680	34880	medium long shot
34880	37040	medium shot
37040	38160	shoulder closeup
38160	39480	medium shot
39480	40760	medium closeup
40760	42880	medium long shot
42880	43800	medium closeup
43800	44800	shoulder closeup
44800	45840	medium long shot
45840	47360	medium shot
47360	49000	medium closeup
49000	55360	shoulder closeup
55360	58840	closeup
58840	59240	medium shot
59240	59880	medium long shot
59880	60600	medium shot
60600	61800	medium closeup
61800	63280	closeup
63280	64920	medium shot,[TO],medium closeup
64920	68120	closeup
68120	72040	medium closeup
72040	75080	medium long shot
75080	85720	long shot
85720	87480	medium shot
87480	90360	medium shot
90360	92880	medium closeup
92880	97960	medium shot
97960	101280	medium long shot
101280	104440	medium long shot
104440	105400	long shot
105400	113120	medium closeup
113120	123162	medium closeup
123162	126988	medium long shot
126988	138880	medium closeup
138880	147000	medium closeup
147000	151920	medium closeup
151920	154800	shoulder closeup
154800	157080	medium shot
157080	160360	shoulder closeup
160360	173160	medium closeup
173160	179240	closeup,[TO],shoulder closeup
179240	183680	closeup
183680	190565	medium closeup
190565	194360	medium shot
194360	198920	medium closeup
198920	201200	closeup
201200	206800	medium closeup
206800	212800	closeup
212800	216760	medium closeup
216760	220160	closeup
220160	227320	medium closeup
227320	233040	closeup
233040	240680	medium shot
240680	244640	medium shot
244640	256440	medium shot,[TO],medium closeup
256440	265800	shoulder closeup,[TO],medium closeup
265800	273640	shoulder closeup,[TO],medium closeup
273640	281960	medium closeup
281960	291840	closeup
291840	300360	medium closeup
300360	305040	closeup
305040	322000	medium closeup
322000	325080	medium long shot
325080	328840	shoulder closeup
328840	330640	medium closeup
