StartTime	EndTime	Value
0	9040	neither
9040	20480	neither
20480	34440	neither
34440	59480	closeup
59480	61440	medium long shot
61440	62920	medium shot
62920	64320	medium long shot
64320	67320	neither
67320	72320	medium closeup
72320	75160	neither
75160	79360	medium shot
79360	83000	neither
83000	87520	medium shot
87520	90360	neither
90360	92400	medium long shot
92400	94320	medium shot
94320	96920	neither
96920	98840	medium shot
98840	101600	neither
101600	104240	medium long shot
104240	106600	medium long shot
106600	109160	neither
109160	112360	medium long shot
112360	116720	neither
116720	121880	medium long shot
121880	124920	neither
124920	131760	medium long shot
131760	134520	neither
134520	136920	medium long shot
136920	139960	neither
139960	143600	medium long shot
143600	148628	neither
148628	156900	closeup
156900	166420	long shot
166420	168460	medium shot
168460	170320	long shot
170320	171760	medium long shot
171760	173800	long shot
173800	176680	shoulder closeup,[TO],medium long shot
176680	178440	medium closeup
178440	179760	medium long shot
179760	182840	long shot
182840	184560	medium shot
184560	187360	medium long shot
187360	188800	medium closeup
188800	189880	medium closeup
189880	191840	medium long shot
191840	193920	medium long shot
193920	194440	medium shot
194440	195760	medium long shot
195760	197520	medium long shot
197520	198340	medium long shot
198340	199780	medium long shot
199780	202720	medium long shot,[TO],long shot
202720	203940	medium shot
203940	205240	medium shot
205240	206180	medium shot
206180	209000	long shot
209000	210980	medium shot
210980	212580	medium closeup
212580	214120	closeup
214120	216480	shoulder closeup
216480	218280	medium shot
218280	220360	medium long shot
220360	222120	medium shot
222120	225200	medium shot,[TO],medium long shot
225200	226320	medium long shot
226320	227600	medium shot
227600	230240	medium shot
230240	231640	medium shot
231640	232940	medium shot
232940	234760	long shot
234760	236600	medium closeup
236600	238560	long shot
238560	244120	neither
244120	245480	shoulder closeup
245480	248040	medium closeup
248040	250000	medium shot
250000	252040	medium shot
252040	253640	medium closeup
253640	254560	medium shot
254560	259472	neither
259472	312760	long shot,[TO],medium long shot
312760	322880	medium closeup,[TO],medium shot
322880	329520	medium shot
329520	338820	medium closeup
338820	341600	medium shot
341600	363680	medium shot,[TO],closeup
363680	372960	medium shot
372960	381280	medium long shot,[TO],medium shot
381280	387720	medium shot
387720	389640	medium closeup
389640	392060	shoulder closeup
392060	398580	medium long shot
398580	400160	closeup
400160	403660	medium long shot
403660	409080	medium closeup,[TO],medium shot
409080	411360	medium long shot
411360	414460	closeup
414460	418000	medium shot
418000	423080	closeup
423080	432840	medium closeup
432840	436760	extreme closeup
436760	442280	medium closeup
442280	444140	extreme closeup
444140	449140	medium closeup,[TO],shoulder closeup
449140	451300	medium closeup
451300	466600	shoulder closeup,[TO],medium shot
466600	473840	shoulder closeup
473840	478400	long shot
478400	484200	medium closeup
484200	486100	medium shot
486100	487700	medium closeup
487700	492440	shoulder closeup
492440	496320	long shot
496320	503280	shoulder closeup
503280	509900	closeup
509900	514400	closeup
514400	522460	shoulder closeup
522460	525760	extreme closeup,[TO],medium closeup
525760	530400	shoulder closeup
530400	533920	medium shot
533920	543340	closeup
543340	545840	closeup
545840	558720	medium closeup
558720	567380	medium closeup
567380	570080	closeup
570080	572200	medium shot
572200	575920	shoulder closeup
575920	579040	shoulder closeup
579040	596200	long shot,[TO],medium long shot
596200	608420	medium closeup
608420	613420	medium long shot
613420	619080	medium shot
619080	625600	shoulder closeup
625600	628920	medium long shot
628920	632200	medium shot
632200	642548	medium long shot,[TO],closeup
642548	649480	closeup,[TO],medium closeup
649480	651840	medium shot,[TO],medium closeup
651840	663960	medium long shot
663960	671960	shoulder closeup
671960	682240	medium shot,[TO],medium long shot
682240	688280	shoulder closeup
688280	690640	shoulder closeup,[TO],closeup
690640	692360	shoulder closeup
692360	695640	closeup
695640	697200	medium closeup
697200	702789	closeup
702789	710960	long shot
710960	713200	shoulder closeup
713200	715320	long shot
715320	718360	medium closeup
718360	723520	medium closeup,[TO],medium shot
723520	726480	medium closeup
726480	729600	medium shot
729600	731240	medium closeup
731240	744000	medium shot,[TO],medium closeup
744000	746800	shoulder closeup
746800	752303	medium shot,[TO],medium closeup
752303	761720	medium closeup,[TO],medium long shot
761720	764480	shoulder closeup
764480	766720	medium closeup
766720	769680	shoulder closeup
769680	770840	medium long shot
770840	776640	shoulder closeup
776640	781520	medium long shot
781520	788160	medium closeup
788160	793800	medium long shot
793800	795280	closeup
795280	797800	medium shot
797800	800160	medium long shot
800160	804040	medium closeup
804040	815640	shoulder closeup
815640	818080	closeup
818080	819960	medium shot
819960	822960	medium closeup
822960	825200	closeup
825200	827760	medium shot
827760	830080	medium long shot
830080	834240	medium shot
834240	842080	medium shot
842080	846460	medium closeup
846460	852080	medium closeup
852080	856480	medium closeup
856480	857960	shoulder closeup
857960	859524	extreme closeup
859524	860000	neither
860000	865000	medium shot
865000	873680	medium closeup,[TO],medium long shot
873680	875560	shoulder closeup
875560	876920	medium closeup
876920	877920	shoulder closeup
877920	879360	medium closeup
879360	879820	medium shot
879820	880800	medium shot
880800	881200	medium shot
881200	881840	medium shot
881840	882480	medium shot
882480	883300	medium closeup
883300	884460	medium closeup
884460	889200	medium closeup
889200	893300	medium closeup
893300	893660	medium long shot
893660	894020	medium long shot
894020	894160	medium long shot
894160	894800	medium closeup
894800	896080	shoulder closeup
896080	897410	medium long shot
897410	898340	medium long shot
898340	899800	shoulder closeup
899800	900893	medium closeup
900893	901831	medium closeup
901831	903160	medium closeup
903160	904731	medium shot
904731	905560	medium shot
905560	907060	medium shot
907060	909700	medium long shot
909700	914400	medium closeup
914400	916460	medium shot
916460	918280	shoulder closeup
918280	920160	medium closeup
920160	922120	medium shot
922120	924160	medium long shot
924160	925940	medium long shot
925940	930360	medium shot
930360	932640	medium closeup
932640	934120	long shot
934120	935300	long shot
935300	936460	extreme long shot
936460	937720	medium shot
937720	939000	medium long shot
939000	940720	medium long shot
940720	943720	medium long shot
943720	945140	medium closeup
945140	946720	medium shot
946720	949080	medium shot
949080	952260	medium shot
952260	953460	medium closeup
953460	954720	medium shot
954720	956000	medium closeup
956000	957440	medium long shot
957440	959360	shoulder closeup
959360	962880	medium shot
962880	965360	closeup
965360	967760	medium shot
967760	970240	shoulder closeup
970240	972720	medium long shot
972720	974740	shoulder closeup
974740	977320	medium long shot
977320	978820	medium closeup
978820	980520	extreme long shot
980520	983120	medium long shot
983120	987560	medium long shot
987560	990200	medium long shot
990200	991320	medium long shot
991320	995660	medium shot
995660	996954	medium shot
996954	998500	medium closeup
998500	1000980	long shot
1000980	1002640	medium shot
1002640	1003560	medium closeup
1003560	1004599	medium shot
1004599	1005740	closeup
1005740	1006480	medium closeup
1006480	1007420	medium closeup
1007420	1008760	medium closeup
1008760	1011239	shoulder closeup
1011239	1011879	closeup
1011879	1012540	medium closeup
1012540	1013540	medium shot
1013540	1014680	medium long shot
1014680	1015160	medium shot
1015160	1016020	medium shot
1016020	1016640	medium shot
1016640	1017479	medium closeup
1017479	1018080	medium long shot
1018080	1018380	medium closeup
1018380	1019060	medium shot,[TO],medium long shot
1019060	1019540	shoulder closeup
1019540	1020160	medium closeup
1020160	1020600	medium shot
1020600	1021100	long shot
1021100	1021480	medium long shot
1021480	1021960	medium shot
1021960	1022520	medium closeup
1022520	1022940	medium closeup
1022940	1023580	long shot
1023580	1024119	shoulder closeup
1024119	1024580	medium closeup
1024580	1025560	medium shot
1025560	1026100	medium shot
1026100	1026540	medium closeup
1026540	1026999	medium long shot
1026999	1027280	shoulder closeup
1027280	1027800	medium shot
1027800	1028160	closeup
1028160	1028699	medium closeup
1028699	1029400	neither
1029400	1033439	medium shot
1033439	1036920	closeup
1036920	1041639	medium closeup
1041639	1043840	shoulder closeup
1043840	1062000	medium closeup
1062000	1073160	shoulder closeup
1073160	1079720	medium long shot,[TO],medium closeup
1079720	1080980	medium shot
1080980	1082040	shoulder closeup
1082040	1083240	medium shot
1083240	1084680	medium closeup
1084680	1086360	medium shot
1086360	1088260	medium shot
1088260	1092440	medium closeup
1092440	1096440	medium closeup
1096440	1100120	medium closeup,[TO],closeup
1100120	1103560	medium shot
1103560	1107600	medium closeup
1107600	1110240	medium shot
1110240	1112080	closeup
1112080	1113960	shoulder closeup
1113960	1116360	closeup
1116360	1119800	medium shot,[TO],medium long shot
1119800	1122280	shoulder closeup
1122280	1125720	medium shot,[TO],medium closeup
1125720	1130600	closeup,[TO],shoulder closeup
1130600	1134120	medium shot
1134120	1137400	shoulder closeup
1137400	1154346	long shot,[TO],medium closeup
1154346	1158400	medium closeup
1158400	1164360	shoulder closeup,[TO],medium closeup
1164360	1171374	medium shot
1171374	1177740	medium long shot
1177740	1191141	medium closeup,[TO],shoulder closeup
1191141	1194860	medium closeup,[TO],closeup
1194860	1202560	medium closeup,[TO],medium long shot
1202560	1207844	medium closeup
1207844	1209440	medium shot,[TO],medium closeup
1209440	1210420	shoulder closeup
1210420	1211360	shoulder closeup
1211360	1212820	shoulder closeup
1212820	1213480	shoulder closeup
1213480	1214620	medium closeup
1214620	1217120	shoulder closeup
1217120	1223400	closeup
1223400	1224360	closeup
1224360	1225720	medium long shot
1225720	1227320	long shot
1227320	1234360	medium long shot,[TO],medium closeup
1234360	1239580	medium closeup,[TO],medium shot
1239580	1240900	medium shot
1240900	1242420	shoulder closeup,[TO],medium closeup
1242420	1245560	medium closeup
1245560	1254203	medium long shot,[TO],medium shot
1254203	1255780	medium long shot
1255780	1257400	medium closeup
1257400	1259254	medium closeup
1259254	1262156	shoulder closeup
1262156	1263760	medium shot
1263760	1267960	medium shot
1267960	1269440	medium long shot
1269440	1270700	shoulder closeup
1270700	1273540	medium shot
1273540	1275280	medium closeup
1275280	1277400	shoulder closeup,[TO],medium closeup
1277400	1278920	medium long shot
1278920	1279800	shoulder closeup
1279800	1281325	medium closeup
1281325	1283073	shoulder closeup
1283073	1283630	medium shot
1283630	1284878	closeup
1284878	1287928	medium closeup,[TO],shoulder closeup
1287928	1291689	medium shot
1291689	1296033	medium closeup
1296033	1299144	medium closeup
1299144	1303453	medium closeup,[TO],shoulder closeup
1303453	1304479	medium long shot
1304479	1309200	medium long shot
1309200	1318060	extreme closeup,[TO],medium long shot
1318060	1322540	extreme long shot
1322540	1324600	medium long shot
1324600	1326960	medium closeup
1326960	1328380	medium long shot
1328380	1330180	closeup
1330180	1332060	medium closeup
1332060	1333260	medium closeup
1333260	1335340	shoulder closeup
1335340	1337380	shoulder closeup
1337380	1339160	shoulder closeup
1339160	1343080	medium shot
1343080	1364900	medium closeup
1364900	1370600	medium long shot
1370600	1373554	closeup
1373554	1376520	shoulder closeup,[TO],medium shot
1376520	1379640	medium shot,[TO],shoulder closeup
1379640	1382680	medium long shot,[TO],long shot
1382680	1386040	long shot,[TO],medium long shot
1386040	1387360	long shot
1387360	1388420	long shot,[TO],medium long shot
1388420	1390220	medium long shot,[TO],long shot
1390220	1391440	long shot
1391440	1392200	medium closeup
1392200	1393040	medium shot,[TO],medium closeup
1393040	1395735	long shot,[TO],medium long shot
1395735	1398520	long shot
1398520	1400080	medium closeup
1400080	1401420	long shot
1401420	1404108	medium long shot,[TO],medium shot
1404108	1405620	long shot,[TO],medium closeup
1405620	1406931	closeup,[TO],medium closeup
