StartTime	EndTime	Value
684366	692600	long shot,[TO],extreme long shot
692600	698933	medium long shot
698933	703866	medium shot,[TO],medium long shot
703866	715333	shoulder closeup
715333	717633	medium closeup
717633	719533	medium long shot
719533	722633	medium shot
722633	739033	shoulder closeup,[TO],closeup
739033	746233	shoulder closeup
746233	755400	shoulder closeup
755400	762600	shoulder closeup,[TO],closeup
762600	766227	shoulder closeup
766227	769126	medium closeup,[TO],medium long shot
769126	771300	long shot
771300	773413	closeup
773413	778233	shoulder closeup,[TO],medium shot
778233	789433	medium long shot
789433	792400	shoulder closeup
792400	813366	shoulder closeup
813366	816066	shoulder closeup
816066	821433	closeup
821433	835600	shoulder closeup
835600	843833	closeup,[TO],extreme closeup
843833	851533	medium long shot
851533	855266	shoulder closeup
855266	861466	medium long shot
861466	867400	shoulder closeup
867400	874065	medium long shot
874065	876219	medium shot
876219	878233	medium long shot
878233	885533	shoulder closeup
885533	900085	shoulder closeup,[TO],closeup
900085	906597	medium long shot
906597	915033	shoulder closeup,[TO],closeup
915033	919966	shoulder closeup
919966	928033	shoulder closeup
928033	940000	shoulder closeup,[TO],closeup
940000	946533	shoulder closeup
946533	954166	closeup,[TO],extreme closeup
954166	958433	shoulder closeup
958433	978381	shoulder closeup,[TO],closeup
978381	995000	medium shot,[TO],medium long shot
995000	1001830	medium long shot
1001830	1007600	shoulder closeup
1007600	1010699	medium long shot
1010699	1014270	medium long shot
1014270	1016899	medium long shot
1016899	1019730	long shot
1019730	1022330	medium shot
1022330	1027700	long shot
1027700	1037130	medium closeup,[TO],medium shot
1037130	1042870	medium shot,[TO],medium long shot
1042870	1046700	shoulder closeup
1046700	1053800	medium long shot
1053800	1055930	medium shot
1055930	1059370	medium shot
1059370	1061270	medium closeup
1061270	1064030	shoulder closeup
1064030	1065970	medium closeup
1065970	1071800	long shot
1071800	1073700	extreme long shot
2762800	2766970	extreme long shot
2766970	2773403	long shot
2773403	2777621	medium long shot
2777621	2782200	medium long shot
2782200	2795270	medium shot
2795270	2802200	closeup
2802200	2811500	medium shot
2811500	2822570	shoulder closeup,[TO],closeup
2822570	2827700	closeup
2827700	2841230	medium shot,[TO],medium closeup
2841230	2847470	closeup
2847470	2852230	shoulder closeup
2852230	2857587	medium closeup
2857587	2876081	shoulder closeup,[TO],closeup
2876081	2901170	medium shot,[TO],medium long shot
2901170	2935300	shoulder closeup
2935300	2939184	neither
2939184	2953930	closeup,[TO],extreme closeup
2953930	2958270	shoulder closeup
2958270	2968870	shoulder closeup
2968870	2979730	medium long shot
2979730	2980730	medium closeup
2980730	2981730	medium closeup
2981730	2982730	medium closeup
2982730	2983730	medium shot
2983730	2984730	medium closeup
2984730	2985730	medium closeup
2985730	2988876	medium shot
2988876	2993770	medium long shot
2993770	2998270	shoulder closeup
2998270	3019600	medium long shot
3019600	3023400	shoulder closeup
3023400	3033830	shoulder closeup
3033830	3050870	closeup,[TO],extreme closeup
3050870	3053670	shoulder closeup
3053670	3078270	shoulder closeup
3078270	3082370	shoulder closeup
3082370	3092170	closeup
3092170	3095800	shoulder closeup
3095800	3099730	shoulder closeup
3099730	3105500	shoulder closeup
3105500	3109070	shoulder closeup
3109070	3114500	shoulder closeup
3114500	3131570	medium closeup,[TO],shoulder closeup
3131570	3148230	long shot,[TO],medium long shot
3148230	3195030	shoulder closeup
3195030	3215329	medium long shot,[TO],medium shot
3215329	3217966	neither
3217966	3256172	medium long shot,[TO],long shot
