StartTime	EndTime	Value
102680	109880	neither
109880	118160	extreme long shot,[TO],long shot
118160	119560	shoulder closeup
119560	121160	closeup
121160	122720	shoulder closeup
122720	125040	closeup
125040	125640	shoulder closeup
125640	127666	medium closeup
127666	128060	closeup
128060	132680	medium shot,[TO],shoulder closeup
132680	135217	medium closeup
135217	139520	closeup
139520	140480	medium shot
140480	141720	medium shot
141720	143060	medium shot
143060	144760	closeup
144760	146400	closeup
146400	149460	medium closeup
149460	150400	medium closeup
150400	152061	medium closeup,[TO],closeup
152061	153900	medium closeup,[TO],closeup
153900	156060	medium shot
156060	157860	medium closeup
157860	159800	medium long shot
159800	162240	medium long shot,[TO],medium shot
162240	163912	medium closeup,[TO],shoulder closeup
163912	165340	medium closeup,[TO],shoulder closeup
165340	166840	medium long shot
166840	167600	medium shot
167600	168320	medium closeup
168320	169040	medium shot
169040	169760	medium shot
169760	170500	medium closeup
170500	172400	medium closeup,[TO],medium shot
172400	173840	medium shot
173840	175160	medium closeup
175160	176240	shoulder closeup
176240	178080	shoulder closeup
178080	180920	long shot
180920	183726	medium shot
183726	186065	shoulder closeup
186065	187781	medium shot
187781	189854	medium closeup
189854	191840	medium long shot
191840	193880	medium closeup
193880	197440	medium shot
197440	202080	medium long shot
202080	204360	medium long shot
204360	206660	medium long shot
206660	208720	medium shot
