StartTime	EndTime	Value
4272040	4275560	neither
4275560	4291320	long shot
4291320	4292880	medium long shot
4292880	4294440	medium closeup
4294440	4296440	shoulder closeup
4296440	4301280	medium long shot,[TO],long shot
4301280	4303560	medium shot
4303560	4304360	medium closeup
4304360	4306400	medium shot
4306400	4308000	shoulder closeup
4308000	4309640	medium shot
4309640	4310840	medium shot
4310840	4313080	long shot
4313080	4314960	long shot
4314960	4316800	medium long shot
4316800	4319040	medium shot
4319040	4320760	medium long shot
4320760	4323000	long shot
4323000	4324920	medium shot
4324920	4327760	medium closeup
4327760	4331431	long shot
4331431	4335560	medium long shot
4335560	4341120	shoulder closeup
4341120	4342160	neither
4342160	4342671	neither
4342671	4343063	neither
4343063	4343707	neither
4343707	4345880	neither
4345880	4346800	neither
4346800	4348640	neither
4348640	4350240	neither
4350240	4353200	medium long shot
4353200	4355200	medium long shot
4355200	4356880	long shot
4356880	4359560	medium closeup
4359560	4365640	medium long shot
4365640	4367480	medium closeup
4367480	4369680	medium long shot
4369680	4376440	long shot
4376440	4377373	medium shot
4377373	4379240	medium shot
4379240	4383640	medium closeup
4383640	4387280	medium long shot
4387280	4393240	medium closeup
4393240	4397080	medium shot
4397080	4410600	medium closeup
