StartTime	EndTime	Value
0	291	neither
291	4375	medium closeup,[TO],medium shot
4375	9375	medium shot
9375	15916	medium closeup,[TO],medium shot
15916	20375	medium closeup
20375	25250	long shot
25250	31250	medium closeup,[TO],medium shot
31250	37125	shoulder closeup
37125	40625	medium closeup,[TO],medium shot (tbd)
40625	43083	shoulder closeup,[TO],medium closeup
43083	45291	shoulder closeup
45291	47166	shoulder closeup
47166	49041	closeup
49041	51708	medium shot
51708	58125	medium closeup
58125	74375	medium closeup,[TO],shoulder closeup
74375	79583	medium closeup
79583	89041	medium shot,[TO],medium closeup
89041	101208	medium shot,[TO],medium closeup
101208	104000	medium long shot
104000	109000	medium closeup
109000	111583	medium shot
111583	114041	medium long shot (tbd)
114041	116333	medium closeup
116333	118083	medium shot
118083	119500	closeup
119500	121458	medium long shot (tbd)
121458	124750	medium long shot
124750	128041	medium long shot
128041	133083	medium closeup
133083	137166	medium long shot
137166	170000	medium closeup
170000	174041	medium closeup
174041	176708	shoulder closeup
176708	179500	medium shot,[TO],medium closeup
179500	180916	medium shot,[TO],medium closeup (tbd)
180916	182333	medium shot
182333	183458	closeup
183458	185875	medium closeup,[TO],shoulder closeup
