StartTime	EndTime	Value
2511506	2515440	shoulder closeup
2515440	2516840	medium long shot
2516840	2517880	medium shot
2517880	2519160	medium shot
2519160	2520400	medium shot
2520400	2520880	medium closeup
2520880	2521600	medium closeup
2521600	2524640	shoulder closeup
2524640	2526160	medium shot
2526160	2528000	shoulder closeup
2528000	2529280	medium shot
2529280	2533080	medium closeup
2533080	2534560	shoulder closeup
2534560	2537400	medium shot
2537400	2538720	medium shot
2538720	2540120	shoulder closeup
2540120	2545840	medium shot
2545840	2547480	closeup
2547480	2548280	shoulder closeup,[TO],medium closeup
2548280	2549920	medium closeup
2549920	2551080	shoulder closeup
2551080	2552520	medium closeup
2552520	2554000	shoulder closeup
2554000	2555600	medium closeup
2555600	2567600	shoulder closeup,[TO],medium closeup
2567600	2568400	medium closeup
2568400	2569960	medium closeup
2569960	2572760	medium closeup
2572760	2576446	medium closeup,[TO],medium shot
2576447	2581160	medium long shot
2581160	2583560	medium shot
2583560	2589840	shoulder closeup
2589840	2593440	shoulder closeup
2593440	2600160	medium shot
2600160	2606240	medium shot
2606240	2611760	shoulder closeup
2611760	2612560	shoulder closeup
2612560	2614120	medium shot
2614120	2614960	medium shot
2614960	2617560	medium shot
2617560	2620800	shoulder closeup
2620800	2626000	shoulder closeup
2626000	2629720	shoulder closeup
2629720	2634160	medium shot
2634160	2638120	medium shot
2638120	2649760	shoulder closeup
2649760	2653360	shoulder closeup
2653360	2668840	closeup,[TO],medium shot
2668840	2674916	closeup
2674916	2678880	medium shot
2678880	2692960	shoulder closeup
2692960	2695360	medium long shot
2695360	2700120	medium closeup
2700120	2702360	medium closeup
2702360	2707320	medium shot
2707320	2709240	medium long shot
2709240	2710960	medium shot
2710960	2714200	medium closeup
2714200	2718160	medium shot
2718160	2719400	medium closeup
2719400	2721120	medium closeup
2721120	2723640	medium shot
2723640	2726480	medium closeup
2726480	2728400	medium closeup
2728400	2734360	medium shot
2734360	2739120	medium closeup
2739120	2741400	medium closeup
2741400	2743160	medium closeup
2743160	2748880	shoulder closeup
2748880	2751240	medium long shot
2751240	2754440	shoulder closeup
2754440	2757280	medium closeup
2757280	2759920	medium long shot
2759920	2761400	closeup
2761400	2762640	shoulder closeup
2762640	2763880	closeup
2763880	2766400	medium shot
2766400	2769680	medium long shot
2769680	2771280	closeup
2771280	2772800	shoulder closeup
2772800	2777120	shoulder closeup
2777120	2780120	medium long shot
2780120	2782160	closeup
2782160	2784000	shoulder closeup
2784000	2787040	shoulder closeup
2787040	2788480	shoulder closeup
2788480	2794600	shoulder closeup
2794600	2798560	medium long shot
2798560	2803080	shoulder closeup
2803080	2805480	closeup
2805480	2806440	medium shot
2806440	2810320	medium long shot
2810320	2814640	shoulder closeup
2814640	2818320	closeup
2818320	2822400	medium shot
2822400	2824640	closeup
2824640	2826080	shoulder closeup
2826080	2828480	closeup
2828480	2832360	closeup
2832360	2834280	closeup
2834280	2838480	shoulder closeup
2838480	2842080	closeup
2842080	2844600	medium shot
2844600	2846120	medium shot
2846120	2854280	closeup
2854280	2860038	medium shot
2975328	2978880	medium long shot
2978880	2982320	medium closeup
2982320	2989320	medium long shot
2989320	3007069	medium shot
3007069	3010280	medium shot
3010280	3011920	closeup
3011920	3015000	shoulder closeup
3015000	3017840	closeup
3017840	3019480	closeup
3019480	3021680	closeup
3021680	3023320	shoulder closeup
3023320	3026606	closeup
3026606	3030000	shoulder closeup
3030000	3031560	medium closeup
3031560	3042080	medium long shot,[TO],medium closeup
3042080	3045960	shoulder closeup
3045960	3048200	medium closeup
3048200	3055836	shoulder closeup
3055836	3058597	long shot
3058597	3060774	shoulder closeup
3060774	3064920	shoulder closeup
3064920	3070360	medium long shot,[TO],medium shot
3070360	3076802	closeup
3076802	3077663	medium shot,[TO],medium closeup
