StartTime	EndTime	Value
0	6891	neither
6891	8702	closeup,[TO],extreme closeup
8702	10750	neither
10750	11916	shoulder closeup
11916	14610	neither
14610	17962	neither
17962	19958	medium closeup
19958	22166	neither
22166	22875	medium long shot,[TO],medium shot
22875	23708	medium closeup
23708	28291	medium closeup,[TO],medium shot
28291	29500	medium long shot
29500	30250	medium long shot
30250	32250	medium long shot
32250	36542	neither
36542	39357	neither
39357	42083	medium closeup
42083	44041	medium closeup
44041	44583	long shot
44583	45041	medium long shot
45041	46291	medium long shot
46291	49961	neither
49961	52593	neither
52593	54372	neither
54372	58196	neither
58196	60333	shoulder closeup
60333	62166	closeup
62166	65172	neither
65172	65418	medium long shot,[TO],long shot
65418	67083	long shot
67083	67583	closeup
67583	68083	shoulder closeup
68083	68791	closeup
68791	70916	neither
70916	71666	shoulder closeup
71666	72958	medium closeup,[TO],medium long shot
72958	75598	neither
75598	77969	neither
77969	81405	neither
81405	82916	neither
82916	84041	medium closeup
84041	84333	medium shot
84333	84625	medium long shot
84625	84875	medium long shot
84875	85166	medium long shot
85166	85541	long shot
85541	86041	medium closeup
86041	86375	neither
86375	87333	closeup
87333	88000	closeup,[TO],extreme closeup
88000	88625	medium closeup
88625	89375	medium closeup
89375	89708	medium closeup
89708	90791	medium long shot
90791	91291	extreme closeup
91291	91708	closeup
91708	92205	neither
92205	92476	neither
92476	92746	neither
92746	93310	neither
93310	94230	neither
94230	96333	medium closeup
96333	96792	shoulder closeup
96792	96956	neither
96956	97490	shoulder closeup
97490	97613	neither
97613	97941	medium closeup,[TO],closeup
97941	99530	neither
99530	100348	neither
100348	104000	neither
104000	105852	medium closeup,[TO],shoulder closeup
105852	109208	neither
109208	110250	medium closeup
110250	115208	medium shot,[TO],medium closeup
115208	116291	medium shot
116291	117041	shoulder closeup
117041	117791	medium closeup
117791	122899	neither
122899	123309	neither
123309	125875	neither
125875	129000	medium long shot
129000	133707	medium closeup
133707	136139	neither
136139	140750	neither
140750	144011	medium closeup
144011	146000	neither
146000	146875	long shot
146875	147611	long shot
147611	147816	medium long shot
147816	147898	neither
147898	147980	medium long shot
147980	148062	neither
148062	148750	medium long shot
148750	154208	medium closeup,[TO],shoulder closeup
154208	156974	neither
156974	159031	neither
159031	161916	neither
161916	164783	neither
164783	166416	shoulder closeup
166416	169666	neither
169666	171250	shoulder closeup
171250	178892	neither
178892	182113	neither
182113	185041	neither
185041	188750	medium closeup,[TO],shoulder closeup
188750	199083	medium long shot,[TO],long shot
199083	211125	medium closeup,[TO],shoulder closeup
211125	220041	medium shot,[TO],medium long shot
220041	223458	shoulder closeup
223458	224750	medium long shot
224750	231208	shoulder closeup
231208	240041	medium shot
240041	245708	medium closeup
245708	248625	medium long shot
248625	253166	medium shot
253166	254583	medium long shot
254583	265875	long shot
265875	276041	long shot
276041	278166	medium shot
278166	281875	medium closeup
281875	285833	medium shot
285833	288166	medium closeup
288166	289958	medium closeup
289958	293875	medium closeup
293875	294875	medium shot
294875	303458	medium closeup
303458	307291	medium closeup
307291	308958	medium closeup
308958	312583	medium closeup
312583	315500	medium closeup
