StartTime	EndTime	Value
419240	441960	medium shot
441960	444080	medium long shot
444080	449760	medium shot,[TO],medium long shot
449760	454600	medium closeup
454600	468920	medium closeup
468920	474040	medium closeup,[TO],shoulder closeup
474040	478320	medium closeup,[TO],long shot
478320	481640	long shot,[TO],closeup
481640	485200	medium closeup
485200	496200	long shot
496200	500600	closeup
500600	503360	medium shot
503360	506720	extreme closeup,[TO],medium closeup
506720	509520	medium long shot
509520	511920	long shot
511920	522800	medium closeup
522800	529640	medium long shot,[TO],closeup
529640	532400	medium closeup
532400	535021	shoulder closeup
535021	536422	medium closeup
