StartTime	EndTime	Value
0	974	neither
974	67745	neither
67745	71204	medium closeup
71204	77993	closeup
77993	81939	neither
81939	83063	medium closeup
83063	84355	medium closeup
84355	88404	closeup
88404	93344	neither
93344	98909	closeup
98909	110653	neither
110653	125713	long shot
125713	128252	neither
128252	137612	medium closeup
137612	140462	neither
140462	143605	closeup
143605	147308	neither
147308	152857	medium long shot
152857	155339	medium long shot
155339	161758	medium closeup,[TO],medium shot
161758	165897	medium shot,[TO],medium long shot
165897	170354	medium closeup
170354	174229	medium closeup
174229	179313	closeup
179313	183271	medium long shot
183271	189480	medium long shot
189480	197480	medium shot
197480	202022	medium closeup
202022	205355	medium shot
205355	211396	medium closeup
211396	214688	closeup
214688	217603	medium closeup
217603	221063	closeup
221063	225313	medium closeup
225313	228146	medium shot
228146	232230	long shot
232230	236105	medium shot
236105	239647	medium shot
239647	241063	closeup
241063	244105	medium shot
244105	245563	medium shot
245563	248230	long shot
248230	251604	medium shot
251604	255897	medium long shot
255897	259188	long shot
259188	261063	medium shot
261063	265147	medium closeup
265147	268980	medium shot
268980	277146	closeup
277146	283563	medium closeup
283563	289813	medium shot
289813	293063	medium shot
293063	296438	closeup
296438	303772	medium long shot
303772	305188	medium long shot
305188	308729	medium shot
308729	314230	closeup
314230	317354	closeup
317354	322841	medium long shot
322841	327105	medium long shot
327105	332563	closeup
332563	338235	closeup,[TO],medium long shot
338235	341272	closeup
341272	345563	medium long shot
345563	357164	medium shot,[TO],closeup
1013854	1017096	neither,[TO],medium closeup
1017096	1019579	medium closeup
1019579	1023354	medium shot
1023354	1027080	closeup
1027080	1033040	medium closeup
1033040	1036688	medium long shot
1036688	1039188	medium closeup
1039188	1044500	medium closeup
1044500	1048330	medium shot
1048330	1050790	shoulder closeup
1050790	1054330	medium closeup
1054330	1058830	medium shot
1058830	1063000	medium closeup
1063000	1065330	medium shot
1065330	1067896	medium closeup
1067896	1070120	medium shot
1070120	1072790	medium closeup
1072790	1076038	medium long shot
1076038	1076620	neither
1076620	1079620	medium closeup,[TO],medium shot
1079620	1083330	medium shot,[TO],medium long shot
1083330	1086693	medium closeup,[TO],shoulder closeup
1086693	1091000	closeup
1091000	1092126	neither
1092126	1105057	closeup
1105057	1110243	neither
1110243	1112938	closeup
1112938	1116491	extreme closeup
1116491	1118290	neither
1118290	1120772	neither
1120772	1123563	extreme closeup,[TO],medium closeup
1123563	1126181	extreme closeup,[TO],medium long shot
1126181	1129106	medium long shot
1129106	1133080	medium long shot
1133080	1137134	long shot
1137134	1138000	neither
1138000	1140250	extreme closeup
1140250	1142250	extreme closeup
1142250	1144339	closeup
1144339	1147120	closeup
1147120	1151120	closeup
1151120	1156290	medium shot
1156290	1160290	long shot
1160290	1164354	extreme long shot
1164354	1168120	extreme long shot
1168120	1170896	medium long shot
1170896	1174500	long shot
1174500	1177080	closeup
1177080	1180500	extreme closeup
1180500	1183896	closeup
1838854	1842233	long shot
1842233	1844500	long shot
1844500	1848120	medium shot
1848120	1852354	medium shot
1852354	1861250	medium closeup
1861250	1862920	medium shot
1862920	1865500	medium closeup
1865500	1867212	medium shot
1867212	1870870	shoulder closeup
1870870	1872911	medium closeup
1872911	1878000	medium long shot
1878000	1880188	medium shot
1880188	1886540	medium closeup
1886540	1891250	closeup
1891250	1895950	medium closeup,[TO],shoulder closeup
1895950	1901010	medium closeup,[TO],medium long shot
1901010	1906429	medium closeup
1906429	1910009	long shot
1910009	1912859	medium shot
1912859	1918859	medium shot,[TO],medium long shot
1918859	1923301	closeup,[TO],medium shot
1923301	1925354	medium shot
1925354	1934646	medium shot,[TO],medium closeup
1934646	1939354	medium shot
1939354	1942165	medium shot
1942165	1943887	extreme closeup
1943887	1944051	shoulder closeup
1944051	1944188	shoulder closeup
1944188	1946162	medium shot,[TO],medium closeup
1946162	1947521	shoulder closeup
1947521	1948963	medium closeup,[TO],shoulder closeup
1948963	1950420	shoulder closeup
1950420	1951918	medium long shot
1951918	1951959	neither
1951959	1953920	medium shot
1953920	1956750	medium closeup
1956750	1958830	shoulder closeup
1958830	1962040	closeup
1962040	1965438	medium closeup
1965438	1972084	medium closeup
1972084	1973068	medium long shot
1973068	1974790	medium long shot
1974790	1978688	medium closeup,[TO],closeup
1978688	1983063	extreme closeup
1983063	1985500	medium shot,[TO],medium long shot
1985500	1994354	medium shot
1994354	1996620	medium closeup
1996620	2000500	medium long shot
2000500	2004330	medium long shot
2004330	2007658	neither,[TO],medium closeup
2007658	2015823	shoulder closeup,[TO],closeup
