StartTime	EndTime	Value
0	2400	neither
2400	9480	neither
9480	29640	neither
29640	36540	medium shot
36540	40020	medium shot
40020	45860	long shot
45860	51160	long shot
51160	60080	long shot
60080	64720	long shot
64720	70980	long shot
70980	74740	extreme long shot
74740	76700	extreme long shot
76700	79740	medium closeup
79740	82500	medium long shot
82500	86140	long shot
86140	93420	shoulder closeup
93420	97140	shoulder closeup
97140	101900	medium long shot
101900	105300	long shot
105300	109260	long shot
109260	113860	medium shot
113860	116020	long shot
116020	118420	long shot
118420	121580	medium shot
121580	128100	shoulder closeup
128100	130780	extreme long shot
130780	134660	extreme long shot,[TO],long shot
134660	137020	medium long shot
137020	140180	long shot
140180	142860	long shot,[TO],medium long shot
142860	145620	extreme long shot
145620	146900	medium shot
146900	148260	closeup
148260	149660	extreme long shot
149660	151040	long shot,[TO],medium long shot
151040	153620	medium long shot
153620	163860	medium long shot
163860	167239	long shot
167239	170020	long shot
170020	173700	closeup
173700	178300	long shot
178300	187620	long shot,medium long shot,medium shot,medium closeup
187620	192300	shoulder closeup
192300	195900	long shot
195900	198420	medium closeup
198420	202340	shoulder closeup
202340	206820	medium long shot
206820	208780	medium closeup
208780	210540	shoulder closeup
210540	216220	shoulder closeup
216220	222300	shoulder closeup
222300	223900	shoulder closeup
223900	225620	medium long shot
225620	227192	closeup
227192	229060	medium long shot
229060	231180	medium long shot
231180	235300	neither
235300	253007	shoulder closeup
253007	256565	long shot,[TO],medium long shot
256565	258220	shoulder closeup
258220	260580	long shot
260580	263060	shoulder closeup
263060	265020	medium closeup
265020	267100	shoulder closeup
267100	270620	medium closeup
270620	274940	extreme long shot
274940	282680	medium shot
282680	290500	shoulder closeup
290500	297460	long shot
297460	300220	long shot
300220	302160	long shot
302160	309740	medium closeup
309740	312900	medium long shot
312900	315100	shoulder closeup
315100	321620	medium closeup
321620	325180	shoulder closeup
325180	328020	shoulder closeup
328020	330380	long shot
330380	348060	shoulder closeup
348060	354860	medium closeup
354860	360180	shoulder closeup
360180	366920	long shot
366920	373740	long shot
373740	376540	long shot
376540	378100	long shot
378100	382680	medium long shot
382680	387146	medium shot
387146	392380	medium long shot
392380	393980	medium closeup
393980	396020	medium shot
396020	398340	medium long shot
398340	400700	medium shot
400700	405660	medium closeup
405660	407860	extreme long shot
407860	410420	long shot
410420	412675	shoulder closeup
412675	417412	long shot
417412	418660	medium shot
418660	420620	medium closeup
420620	422220	medium shot
422220	427940	shoulder closeup
427940	430620	medium closeup
430620	433540	medium closeup
433540	435340	shoulder closeup
