StartTime	EndTime	Value
0	5954	neither
5954	8982	medium shot
8982	10883	medium shot
10883	14249	medium shot
14249	16949	medium closeup,[TO],shoulder closeup
16949	25383	medium closeup
25383	28949	shoulder closeup,[TO],medium closeup
28949	31949	medium closeup
31949	39916	medium shot
39916	46049	medium closeup
46049	47449	shoulder closeup
47449	55382	medium shot
55382	55716	medium long shot
55716	57252	medium shot
57252	58049	neither
58049	58416	medium shot
58416	59818	medium closeup
59818	60782	neither
60782	61116	medium closeup
61116	62882	medium long shot
62882	65450	medium long shot
65450	65747	medium closeup
65747	67949	medium shot
67949	70116	medium long shot
70116	70382	medium shot
70382	72782	medium shot
72782	74749	long shot
74749	75116	medium closeup
75116	77182	medium long shot
77182	79416	long shot
79416	79849	closeup
79849	82116	long shot
82116	84049	medium long shot
84049	84449	medium closeup
84449	86416	medium long shot
86416	86782	medium shot
86782	88716	medium long shot
88716	89082	medium shot
89082	89849	medium closeup
89849	90249	medium shot
90249	91049	medium shot
91049	91649	medium shot
91649	92149	medium closeup
92149	92549	medium closeup
92549	93016	medium closeup
93016	93416	medium closeup
93416	93716	medium long shot
93716	96317	neither
