StartTime	EndTime	Value
0	7818	neither
7818	9440	neither
9440	13154	neither
13154	16107	neither
16107	21302	neither
21302	23060	neither
23060	35000	medium long shot
35000	36260	neither
36260	39300	medium closeup
39300	42300	medium closeup
42300	45708	medium long shot
45708	47580	long shot
47580	48580	neither
48580	52260	long shot
52260	53791	medium shot
53791	57300	medium closeup
57300	60340	neither
60340	62420	medium long shot
62420	65260	neither
65260	66666	medium long shot
66666	68860	medium closeup
68860	73100	neither
73100	75000	medium long shot,[TO],medium closeup
75000	78340	medium closeup
78340	79100	neither
79100	82060	medium long shot
82060	82958	medium shot
82958	85340	neither
85340	88180	medium closeup
88180	90340	medium closeup
90340	91220	neither
91220	94620	medium shot
94620	97420	neither
97420	99580	medium shot
99580	103420	neither
103420	106460	medium closeup
106460	113666	medium long shot,[TO],medium shot
113666	121750	medium closeup
121750	127020	neither
127020	145632	neither
145632	147833	neither
