StartTime	EndTime	Value
4855674	4858280	shoulder closeup
4858280	4859680	medium closeup
4859680	4861920	medium shot
4861920	4869540	shoulder closeup,[TO],medium closeup
4869540	4875280	shoulder closeup,[TO],medium closeup
4875280	4876960	medium shot
4876960	4878223	medium closeup
4878223	4879758	medium closeup
4879758	4881040	shoulder closeup
4881040	4883360	closeup,[TO],extreme closeup
4883360	4884659	medium closeup
4884659	4885480	medium closeup
4885480	4888543	medium shot
4888543	4893300	medium shot
4893300	4900400	medium closeup
4900400	4903760	medium shot
4903760	4906080	shoulder closeup,[TO],closeup
4906080	4907340	closeup
4907340	4909680	extreme closeup
4909680	4916120	medium long shot
4916120	4917920	shoulder closeup
4917920	4921720	shoulder closeup
4921720	4923280	shoulder closeup,[TO],closeup
4923280	4927440	medium closeup,[TO],medium long shot
4927440	4931820	medium shot,[TO],medium closeup
4931820	4934240	medium closeup
4934240	4937700	medium closeup
4937700	4939360	medium closeup
4939360	4941920	shoulder closeup
4941920	4944240	medium closeup
4944240	4947160	medium closeup
4947160	4949840	shoulder closeup
4949840	4951600	shoulder closeup
4951600	4953720	shoulder closeup
4953720	4956600	long shot
4956600	4962760	medium long shot
4962760	4970520	medium shot
4970520	4973820	medium closeup
4973820	4978280	medium closeup
4978280	4984360	medium shot
4984360	4994720	shoulder closeup,[TO],medium long shot
4994720	5006000	medium closeup
5006000	5007360	medium closeup
5007360	5008500	medium closeup
5008500	5011800	medium shot,[TO],medium closeup
5011800	5014040	shoulder closeup
5014040	5019507	medium closeup
5019507	5022225	shoulder closeup
5022225	5024920	medium closeup
5024920	5029857	medium closeup
5029857	5033935	medium closeup,[TO],shoulder closeup
5033935	5039017	shoulder closeup
5039017	5045280	shoulder closeup
5045280	5056600	medium closeup,[TO],extreme closeup
5056600	5061580	medium shot
5061580	5063360	shoulder closeup
5063360	5067250	medium shot
5067250	5070240	neither
5070240	5079880	medium long shot
5079880	5089440	shoulder closeup
5089440	5092560	shoulder closeup
5092560	5105040	medium long shot
5105040	5108480	shoulder closeup
5108480	5127040	shoulder closeup
5127040	5137160	medium long shot
5137160	5149360	medium long shot
5149360	5179680	medium shot
5179680	5187840	medium closeup
5187840	5196200	medium long shot
5196200	5205560	medium shot
5205560	5214160	medium closeup
5214160	5218040	long shot
5218040	5223080	medium long shot
5223080	5245185	medium long shot
