StartTime	EndTime	Value
0	23150	neither,[TO],long shot
23150	65083	long shot
65083	70083	neither
894958	983166	medium shot,[TO],medium closeup
983166	996333	closeup
996333	1002200	shoulder closeup
1002200	1008688	shoulder closeup
1008688	1011646	shoulder closeup
1011646	1014540	shoulder closeup
1014540	1017896	closeup
1017896	1025386	medium closeup,[TO],shoulder closeup
1025386	1027857	shoulder closeup
1027857	1030580	shoulder closeup
1030580	1032500	shoulder closeup
1032500	1034000	extreme closeup
1034000	1035790	extreme closeup
1035790	1037290	extreme closeup
1037290	1042880	extreme closeup
1042880	1045355	closeup
1045355	1047396	closeup
1047396	1052438	closeup
1052438	1063290	shoulder closeup
1063290	1075120	medium shot
1075120	1078438	extreme closeup
1078438	1082438	closeup,[TO],extreme closeup
1082438	1112040	shoulder closeup
1112040	1132000	shoulder closeup,[TO],medium closeup
1132000	1136540	shoulder closeup
1136540	1144120	medium closeup
1144120	1150854	shoulder closeup
1150854	1154354	medium closeup,[TO],shoulder closeup
1154354	1159540	shoulder closeup
1159540	1166354	medium closeup
1166354	1174938	shoulder closeup
1174938	1181830	medium closeup
1181830	1193750	shoulder closeup
1193750	1201887	medium closeup,[TO],shoulder closeup
1201887	1206146	medium shot
1206146	1208854	shoulder closeup
5404679	5409417	long shot
5409417	5414042	long shot
5414042	5431149	long shot
5431149	5436711	medium long shot
5436711	5440412	medium long shot
5440412	5443827	medium long shot
5443827	5456941	long shot
5456941	5459854	medium closeup
5459854	5462108	medium long shot
5462108	5465590	medium shot,[TO],medium closeup
5465590	5467475	medium shot
5467475	5470609	medium closeup
5470609	5473071	medium closeup
5473071	5476025	long shot
5476025	5483876	long shot
5483876	5486995	medium long shot
5486995	5496195	long shot
5496195	5499180	medium closeup
5499180	5502664	medium closeup
5502664	5504562	medium shot
5504562	5506110	medium closeup
5506110	5507309	shoulder closeup
5507309	5509230	shoulder closeup
5509230	5513019	shoulder closeup
5513019	5515935	long shot
5515935	5519844	long shot
5519844	5523303	medium closeup,[TO],shoulder closeup
5523303	5526795	shoulder closeup
5526795	5528892	medium closeup
5528892	5533488	long shot
5533488	5541911	long shot
5541911	5546910	medium shot
5546910	5558750	medium closeup
5558750	5566380	medium shot,[TO],medium closeup
5566380	5570250	medium closeup
5570250	5577770	medium closeup
5577770	5581770	medium closeup
5581770	5584396	medium closeup
5584396	5592040	medium closeup
5592040	5597396	medium closeup
5597396	5599646	medium closeup
5599646	5606270	medium closeup
5606270	5609520	medium closeup
5609520	5617312	medium long shot
5617312	5622062	medium shot
5622062	5645854	medium long shot,[TO],medium shot
5645854	5667896	medium long shot
5667896	5674312	medium shot
5674312	5682020	shoulder closeup
5682020	5686188	medium closeup
5686188	5691438	shoulder closeup
5691438	5695438	medium closeup
5695438	5699062	shoulder closeup
5699062	5705562	medium closeup
5705562	5712604	shoulder closeup
5712604	5719062	medium closeup
5719062	5721312	shoulder closeup
5721312	5725938	medium closeup
5725938	5732479	shoulder closeup
5732479	5736104	medium closeup
5736104	5738938	shoulder closeup
5738938	5745354	medium closeup
5745354	5751146	shoulder closeup
5751146	5775854	medium closeup
5775854	5781604	closeup
5781604	5798062	medium shot
5798062	5808896	closeup
5808896	5818520	shoulder closeup
5818520	5832770	closeup
5832770	5836896	closeup
5836896	5848770	closeup
5848770	5859104	shoulder closeup
5859104	5863104	medium closeup
5863104	5879188	shoulder closeup
5879188	5881896	medium closeup
5881896	5883270	shoulder closeup
5883270	5887688	medium shot
5887688	5892312	medium closeup
5892312	5900479	shoulder closeup
5900479	5906854	medium closeup
5906854	5908562	medium closeup
5908562	5911229	medium closeup
5911229	5914020	medium closeup
5914020	5919729	medium long shot
5919729	5927854	medium long shot
5927854	5934626	medium closeup
5934626	5938214	medium closeup
5938214	5941428	medium shot
5941428	5949945	medium shot
5949945	5953870	medium shot
5953870	5956120	shoulder closeup
5956120	5962740	medium closeup
5962740	6025540	long shot
6025540	6032420	medium long shot
6032420	6037620	medium closeup
6037620	6049750	medium closeup
6049750	6059316	medium closeup
6059316	6082120	medium shot
6082120	6095790	medium shot
6095790	6115795	medium closeup
6115795	6125620	medium shot
6125620	6146710	long shot
6146710	6391372	neither
