StartTime	EndTime	Value
0	2008	neither
2008	22041	medium long shot,[TO],long shot
22041	59520	medium shot,[TO],medium long shot
59520	76281	medium long shot
76281	78583	neither
78583	83869	shoulder closeup
83869	89833	shoulder closeup
89833	92375	medium shot
92375	95208	shoulder closeup
95208	99500	shoulder closeup
99500	100375	shoulder closeup
100375	105791	medium shot
105791	108021	shoulder closeup
108021	111208	closeup
111208	116625	medium shot,[TO],shoulder closeup
116625	117875	medium closeup
117875	119041	medium shot
119041	120291	medium closeup
120291	121083	shoulder closeup
121083	122541	medium long shot
122541	123583	shoulder closeup
123583	127375	closeup
127375	128646	closeup
128646	129396	closeup
129396	130416	shoulder closeup
130416	131625	shoulder closeup
131625	135875	medium closeup
135875	141083	shoulder closeup
141083	146541	medium long shot
146541	147708	medium closeup
147708	151250	shoulder closeup
151250	164333	medium shot
164333	166750	medium shot
166750	169666	medium closeup
169666	173000	medium closeup
173000	175500	medium closeup
175500	176583	medium shot
176583	177500	medium shot
177500	179625	shoulder closeup
179625	181875	medium closeup
181875	183272	medium closeup
183272	183355	extreme closeup
183355	183584	extreme closeup
183584	185432	medium long shot
185432	186548	medium closeup
186548	189177	medium long shot
189177	191279	medium closeup
191279	194209	medium closeup
194209	197916	medium long shot,[TO],medium shot
197916	198188	medium shot
198188	198666	long shot
198666	199041	long shot
199041	199250	shoulder closeup
199250	199625	medium closeup
199625	200500	shoulder closeup
200500	202625	long shot
202625	203000	medium shot
203000	203458	shoulder closeup
203458	203791	shoulder closeup
203791	204271	long shot
204271	204958	closeup
204958	205354	medium closeup
205354	206875	long shot
206875	207291	medium closeup
207291	207833	long shot
207833	208155	medium closeup
208155	208666	medium closeup
208666	208958	medium shot
208958	209416	shoulder closeup,[TO],closeup
209416	209833	medium long shot
209833	210993	long shot
210993	211500	shoulder closeup
211500	211791	long shot
211791	211916	long shot
211916	212416	shoulder closeup
212416	212666	neither
212666	214041	long shot
214041	214458	medium closeup
214458	214772	medium shot
214772	215041	long shot
215041	215541	medium closeup
215541	215666	long shot
215666	216083	medium shot
216083	216333	medium closeup
216333	216666	long shot
216666	216958	shoulder closeup
216958	217208	medium shot
217208	217625	medium long shot
217625	217875	shoulder closeup
217875	218458	shoulder closeup
218458	219107	long shot
219107	219503	long shot
219503	220241	long shot
220241	220625	long shot
220625	220750	neither
220750	221166	medium shot
221166	221250	neither
221250	221750	shoulder closeup
221750	221854	neither
221854	223459	medium shot,[TO],medium closeup
223459	228125	neither
228125	228541	medium long shot
228541	229958	neither
229958	231083	long shot
231083	233500	neither
233500	234666	medium shot
234666	237500	neither
237500	238125	medium long shot
238125	239708	neither
239708	241313	long shot
241313	243708	medium long shot
243708	244750	neither
244750	246125	shoulder closeup
246125	247333	shoulder closeup
247333	248625	closeup
248625	249500	neither
249500	250416	shoulder closeup
250416	251146	neither
251146	252166	medium long shot,[TO],medium closeup
252166	253208	neither
253208	255250	medium shot
255250	256458	neither
256458	259041	shoulder closeup
259041	275333	neither
275333	290000	long shot,[TO],extreme long shot
290000	299416	closeup
299416	338354	medium closeup
338354	339396	medium shot
339396	346479	medium long shot
346479	350291	shoulder closeup
350291	352893	medium long shot
352893	354354	neither
354354	357333	medium shot
357333	359416	medium long shot
359416	360521	medium shot,[TO],medium closeup
360521	362835	medium shot
362835	363521	medium closeup
363521	372104	medium shot
372104	372521	medium shot
372521	372666	medium shot
372666	375187	shoulder closeup
375187	376583	medium long shot
376583	378875	medium long shot
378875	379500	medium shot
379500	380125	medium long shot
380125	383250	closeup
383250	386750	medium shot
386750	389666	shoulder closeup
389666	391750	closeup
391750	398000	closeup
398000	403041	shoulder closeup
403041	407333	closeup
407333	417697	shoulder closeup
417697	423375	medium closeup,[TO],medium shot
423375	426041	closeup
426041	431375	closeup
431375	435750	closeup
435750	438208	shoulder closeup
438208	439750	medium long shot
439750	454375	shoulder closeup
454375	461083	closeup
461083	468041	closeup
