StartTime	EndTime	Value
0	14940	neither
14940	24420	neither
24420	27540	neither
27540	28301	medium long shot
28301	29700	medium long shot
29700	31060	medium shot
31060	32980	medium long shot
32980	34400	neither
34400	35500	neither
35500	36800	neither
36800	39240	medium shot,[TO],medium long shot
39240	40480	neither
40480	41800	shoulder closeup
41800	43160	neither
43160	44500	medium shot
44500	45599	medium shot
45599	47561	medium closeup
47561	50756	neither
50756	54020	long shot
54020	57380	long shot
57380	59860	long shot
59860	61660	medium long shot
61660	64540	medium long shot
64540	67700	medium shot
67700	70660	medium long shot
70660	73560	medium shot
73560	76360	medium long shot
76360	78920	medium long shot
78920	80200	medium closeup
80200	81320	medium closeup
81320	82540	medium closeup
82540	83500	closeup
83500	84700	closeup
84700	85700	closeup
85700	87220	medium closeup
87220	89100	medium closeup
89100	89620	shoulder closeup
89620	90820	closeup
90820	91780	closeup
91780	93460	medium closeup
93460	96580	medium closeup
96580	109380	long shot
109380	119060	long shot,[TO],medium shot
119060	124900	medium long shot,[TO],medium shot
124900	131940	medium shot,[TO],medium long shot
131940	137900	medium long shot,[TO],medium shot,[TO],medium long shot
137900	147500	medium long shot,[TO],medium shot
147500	153780	medium shot
153780	155980	medium long shot
155980	163460	medium shot,[TO],medium long shot
163460	166060	medium shot
166060	167980	medium long shot
167980	172900	medium shot
172900	177780	medium shot
177780	180940	medium closeup
180940	185360	medium shot
185360	187420	medium closeup
187420	190500	medium closeup
190500	192860	medium closeup
192860	195220	medium shot
195220	197540	medium closeup
197540	199500	medium closeup
199500	201780	medium closeup
201780	204700	medium closeup
204700	211700	medium long shot
211700	213060	medium long shot
213060	215820	medium closeup
215820	217860	medium shot
217860	220780	medium closeup
220780	225380	medium shot
225380	226740	medium closeup
226740	231260	shoulder closeup
231260	234780	medium closeup
234780	236380	medium closeup
236380	238140	shoulder closeup
238140	239500	medium closeup
239500	244780	shoulder closeup
244780	247020	medium closeup
247020	249820	shoulder closeup
249820	252820	medium shot
252820	257820	medium long shot
257820	280500	shoulder closeup,[TO],medium closeup
280500	286100	medium shot
286100	289020	medium closeup
289020	290460	long shot
290460	293180	medium shot
293180	296980	medium closeup
296980	301420	medium shot
301420	308140	medium closeup
308140	312620	medium shot
312620	321300	medium closeup
321300	327420	medium closeup
327420	330180	long shot
330180	333380	medium shot
333380	335940	long shot
335940	343620	medium closeup
343620	355580	medium shot,[TO],medium closeup
355580	364940	medium shot
364940	369540	medium long shot,[TO],medium shot
369540	372420	medium shot
372420	376340	medium closeup
376340	380540	shoulder closeup
380540	386220	medium closeup
386220	388380	shoulder closeup
388380	392460	medium long shot,[TO],medium shot
392460	393740	medium shot
393740	396260	medium shot
396260	399660	shoulder closeup
399660	401980	medium closeup
401980	404460	medium shot
404460	406100	closeup
406100	411860	long shot
411860	415500	medium long shot,[TO],medium shot
415500	417380	medium long shot
417380	419900	medium closeup
419900	423420	medium long shot
423420	433620	long shot,[TO],shoulder closeup
433620	442980	long shot
442980	446980	medium long shot
446980	452420	medium closeup
452420	459420	medium long shot,medium shot
459420	461820	medium closeup
461820	472700	medium closeup,medium shot
472700	474020	medium closeup
474020	478300	medium shot
478300	481260	medium closeup
481260	485860	medium shot
485860	487540	medium long shot
487540	494300	medium closeup,medium long shot
494300	500380	long shot
500380	503940	medium long shot
503940	505260	long shot
505260	509940	medium long shot
509940	512260	long shot
512260	516420	medium closeup
516420	519580	medium closeup
519580	522020	medium long shot
522020	533460	medium closeup
533460	538540	medium closeup
538540	542980	medium shot
542980	547300	medium closeup
547300	550300	medium long shot
550300	554180	shoulder closeup
554180	555980	medium closeup
555980	558140	shoulder closeup
558140	561620	medium closeup
561620	564100	shoulder closeup
564100	565540	medium closeup
565540	568540	medium closeup
568540	572300	medium shot
572300	577260	medium closeup,closeup
577260	581300	medium shot
581300	587260	medium closeup
587260	589580	medium closeup
589580	599380	shoulder closeup
599380	606940	medium long shot
606940	615500	medium shot
615500	619260	medium shot
619260	622220	medium long shot
622220	634551	medium shot
634580	649100	medium long shot
649100	654340	medium closeup
654340	656900	medium long shot
656900	661100	medium closeup
661100	662460	medium long shot
662460	666420	medium closeup
666420	673420	medium long shot
673420	674620	medium closeup
674620	678540	medium closeup
678540	683420	medium closeup
683420	685660	medium closeup
685660	687740	medium closeup
687740	689260	medium shot
689260	691020	medium closeup
691020	694060	medium long shot
694060	695700	medium closeup
695700	707340	medium closeup
707340	717060	medium shot,[TO],medium closeup
717060	722180	medium closeup
722180	724580	medium closeup
724580	731820	long shot
731820	740380	medium closeup
740380	744580	medium shot
744580	751420	medium shot
751420	756980	medium shot
756980	759140	medium closeup
759140	775660	medium closeup
775660	776860	medium closeup
776860	785180	medium long shot
785180	798580	medium closeup
798580	822340	medium long shot
822340	824100	medium shot
824100	827780	medium closeup
827780	829900	shoulder closeup
829900	833660	medium closeup
