StartTime	EndTime	Value
0	14200	medium closeup
14200	42080	medium long shot
42080	44680	neither
44680	47400	medium closeup
47400	49080	medium closeup
49080	50440	medium closeup
50440	55737	long shot
55737	57160	medium closeup
57160	58840	medium shot
58840	61800	long shot
61800	62800	shoulder closeup
62800	66280	long shot
66280	68520	long shot
68520	70840	long shot
70840	74120	neither
74120	75960	medium shot
75960	77680	long shot
77680	80240	closeup,[TO],medium closeup
80240	84440	shoulder closeup
84440	86880	neither
86880	89520	medium shot
89520	94760	shoulder closeup,[TO],long shot
94760	98640	medium closeup
98640	99720	medium long shot
99720	104960	medium long shot
104960	110480	neither
110480	120040	medium closeup
120040	128200	medium shot
128200	184560	medium closeup
184560	187080	medium shot
187080	202840	medium closeup
202840	208080	medium long shot
208080	212786	medium long shot,[TO],medium closeup
212786	219800	medium long shot
219800	231200	medium closeup
231200	238520	medium long shot
238520	241880	medium closeup
241880	247520	medium long shot
247520	258600	medium closeup
258600	265200	medium long shot
265200	272520	medium long shot
272520	277640	shoulder closeup
277640	280240	medium closeup
280240	284360	long shot
284360	290360	long shot
290360	293480	medium shot
293480	299480	medium long shot
299480	302840	medium closeup
302840	308480	medium long shot
308480	311680	medium closeup
311680	317680	medium shot
317680	322160	medium closeup
322160	325800	medium closeup
325800	328240	medium shot
328240	357760	medium closeup
357760	362440	medium closeup
362440	365400	medium shot
365400	388160	medium closeup
388160	393880	medium closeup
393880	400360	medium shot
400360	423000	medium closeup
423000	431280	medium closeup
431280	473360	medium closeup
473360	478560	medium closeup
478560	480600	medium shot
480600	493600	medium closeup
493600	495280	medium closeup
495280	502240	medium closeup
502240	530240	medium closeup
530240	536160	medium long shot
536160	537960	medium long shot
537960	546400	medium shot
546400	561200	medium closeup
561200	565920	shoulder closeup,[TO],medium shot
565920	568240	medium shot
568240	571240	medium shot,[TO],medium closeup
571240	577480	shoulder closeup,medium shot
577480	592280	medium closeup
592280	600040	long shot
600040	610880	medium closeup
610880	620320	long shot
620320	635960	medium closeup
635960	640560	medium closeup,[TO],extreme closeup
640560	646800	medium shot
646800	651280	medium closeup
651280	655920	medium closeup
655920	678080	medium closeup
678080	683120	medium shot
683120	689160	medium closeup
689160	712480	medium closeup
712480	719440	medium shot
719440	723280	medium closeup
723280	728760	medium closeup
728760	733360	medium shot
733360	760120	medium closeup
760120	763080	medium closeup
763080	768480	medium closeup
768480	771400	medium closeup
771400	772620	medium closeup
772620	788080	medium shot
788080	791120	medium closeup
791120	793600	closeup
793600	796880	medium shot
796880	802640	shoulder closeup,[TO],medium long shot
802640	806840	medium long shot
806840	810280	shoulder closeup
810280	813600	medium closeup
813600	835280	medium closeup
835280	840200	long shot
840200	844640	long shot
844640	848880	medium long shot
848880	863320	medium closeup
863320	868000	medium long shot
868000	870840	medium long shot
870840	875240	medium closeup
875240	876080	medium long shot
876080	889240	medium shot
889240	901078	medium long shot
