StartTime	EndTime	Value
243760	264440	medium shot
264440	267640	medium long shot
267640	269920	medium shot
269920	272933	medium shot
272933	277585	long shot
277585	284861	long shot
284861	302080	medium closeup
302080	310720	medium closeup,[TO],medium long shot
310720	324080	medium closeup
324080	333680	medium shot,[TO],medium long shot
333680	358400	medium closeup
358400	377560	medium shot
377560	379160	medium long shot
379160	381200	medium long shot
381200	389360	medium long shot
389360	406080	medium closeup
406080	412240	shoulder closeup
412240	417360	closeup
417360	440880	medium closeup
440880	445840	medium long shot
445840	449000	medium shot
449000	464320	medium closeup
464320	468400	medium shot,[TO],shoulder closeup
468400	472440	medium closeup
472440	474240	medium closeup,[TO],closeup
474240	498400	medium shot
498400	504600	medium shot
504600	508920	medium shot
508920	514680	medium closeup
514680	519240	long shot
519240	529120	medium closeup
529120	537160	long shot
537160	541320	shoulder closeup
541320	545400	shoulder closeup
545400	557600	medium closeup
557600	559880	medium closeup
559880	564080	medium shot
564080	572160	medium closeup
572160	577480	medium closeup
577480	583640	medium long shot
583640	588880	medium shot
